metric_id,family,direction,definition,unit,primary_or_guardrail,minimum_support,notes
candidate_coverage,evidence,maximize,candidates with a frozen row divided by candidates expected from source cycles,ratio,hard_gate,all source cycles,must be >=0.99
policy_decision_coverage,evidence,maximize,candidates with an explicit policy decision divided by frozen candidates,ratio,hard_gate,all candidates,must be >=0.99
terminal_maturity,evidence,maximize,accepted decisions with terminal outcomes divided by accepted decisions due to mature,ratio,hard_gate,all due outcomes,must be >=0.95
common_support_rate,evidence,maximize,paired candidate IDs observed by both compared arms divided by union support,ratio,hard_gate,paired comparison,must be >=0.95 for research claim and 0.99 for promotion
ambiguous_lifecycle_rate,evidence,minimize,rows with unresolved ordering fill or same-bar ambiguity not resolved by frozen rule divided by eligible rows,ratio,guardrail,all rows,fail closed
hash_drift_count,evidence,minimize,distinct unexpected feature policy cost execution universe hashes,count,hard_gate,whole cohort,must be zero except registered epoch change
stale_catchup_share,evidence,minimize,late-discovered decisions divided by all decisions,ratio,guardrail,all decisions,catch-up never becomes forward
net_expectancy_r,economics,maximize,mean terminal net R across accepted matured trades,R_per_trade,primary,100 trades,clustered confidence required
expectancy_lcb95_r,economics,maximize,5th percentile or lower endpoint of cluster-bootstrap mean net R,R_per_trade,primary,30 clusters,must be above zero for promotion
stressed_expectancy_1_5x_r,economics,maximize,mean net R after 1.5 times registered friction,R_per_trade,primary,100 trades,must remain positive unless parent also negative and arm materially improves risk
stressed_expectancy_2x_r,economics,maximize,mean net R after twice registered friction,R_per_trade,guardrail,100 trades,target non-negative
break_even_cost_multiple,economics,maximize,largest multiplier on registered friction with non-negative total net R,multiple,primary,100 trades,compute from gross edge and cost load
profit_factor,economics,maximize,sum positive net R divided by absolute sum negative net R,ratio,secondary,50 trades,not promotion authority alone
return_per_stop_risk,economics,maximize,total net R divided by total initial stop risk,R_per_risk_unit,primary,all accepted,makes stop variants risk comparable
return_per_margin_hour,economics,maximize,total net PnL divided by margin capital hours,currency_per_margin_hour,secondary,all accepted,capacity efficiency
return_per_exposure_hour,economics,maximize,total net R divided by exposure hours,R_per_hour,secondary,all accepted,time efficiency
max_drawdown_r,tail,minimize,maximum peak-to-trough loss on causally ordered policy equity curve,R,primary,100 trades,portfolio not bag-of-trades order
cdar95_r,tail,minimize,mean of worst 5 percent drawdown observations,R,primary,100 trades,conditional drawdown at risk
trade_cvar05_r,tail,minimize,negative of mean worst 5 percent terminal trade R so larger positive number means worse loss,R,primary,100 trades,tail severity
max_drawdown_duration_hours,tail,minimize,longest time below prior equity peak,hours,guardrail,60 days,calendar and exposure duration both useful
gap_through_stop_cvar_r,tail,minimize,mean worst gap-through-stop excess beyond planned risk,R,guardrail,20 stop gaps,requires executable price model
